Enter matrix size:Enter count: 
0.01331 0.00769 0.00903 0.00562 0.00769 
0.03564 0.02100 0.02441 0.01465 0.02100 

0.04333 0.02551 0.03003 0.01782 0.02551 
0.01886 0.01117 0.01331 0.00769 0.01117 
0.03217 0.01886 0.02234 0.01331 0.01886 
0.01117 0.00665 0.00769 0.00452 0.00665 
0.03003 0.01782 0.02100 0.01221 0.01782 

0.03668 0.02167 0.02551 0.01501 0.02167 
0.01608 0.00943 0.01117 0.00665 0.00943 
0.02725 0.01608 0.01886 0.01117 0.01608 
0.00943 0.00558 0.00665 0.00385 0.00558 
0.02551 0.01501 0.01782 0.01050 0.01501 

0.03110 0.01834 0.02167 0.01276 0.01834 
0.01363 0.00804 0.00943 0.00558 0.00804 
0.02306 0.01363 0.01608 0.00943 0.01363 
0.00804 0.00471 0.00558 0.00333 0.00471 
0.02167 0.01276 0.01501 0.00891 0.01276 

0.02638 0.01555 0.01834 0.01083 0.01555 
0.01153 0.00681 0.00804 0.00471 0.00681 
0.01957 0.01153 0.01363 0.00804 0.01153 
0.00681 0.00402 0.00471 0.00279 0.00402 
0.01834 0.01083 0.01276 0.00751 0.01083 

0.02236 0.01319 0.01555 0.00917 0.01319 
0.00978 0.00576 0.00681 0.00402 0.00576 
0.01660 0.00978 0.01153 0.00681 0.00978 
0.00576 0.00341 0.00402 0.00236 0.00341 
0.01555 0.00917 0.01083 0.00638 0.00917 

0.01896 0.01118 0.01319 0.00777 0.01118 
0.00830 0.00489 0.00576 0.00341 0.00489 
0.01406 0.00830 0.00978 0.00576 0.00830 
0.00489 0.00288 0.00341 0.00201 0.00288 
0.01319 0.00777 0.00917 0.00542 0.00777 

0.01607 0.00948 0.01118 0.00660 0.00948 
0.00703 0.00415 0.00489 0.00288 0.00415 
0.01192 0.00703 0.00830 0.00489 0.00703 
0.00415 0.00245 0.00288 0.00170 0.00245 
0.01118 0.00660 0.00777 0.00459 0.00660 

0.01363 0.00804 0.00948 0.00559 0.00804 
0.00596 0.00352 0.00415 0.00245 0.00352 
0.01011 0.00596 0.00703 0.00415 0.00596 
0.00352 0.00207 0.00245 0.00144 0.00207 
0.00948 0.00559 0.00660 0.00389 0.00559 

0.01155 0.00681 0.00804 0.00474 0.00681 
0.00506 0.00298 0.00352 0.00207 0.00298 
0.00857 0.00506 0.00596 0.00352 0.00506 
0.00298 0.00176 0.00207 0.00122 0.00176 
0.00804 0.00474 0.00559 0.00330 0.00474 

0.00979 0.00578 0.00681 0.00402 0.00578 
0.00429 0.00253 0.00298 0.00176 0.00253 
0.00727 0.00429 0.00506 0.00298 0.00429 
0.00253 0.00149 0.00176 0.00104 0.00149 
0.00681 0.00402 0.00474 0.00280 0.00402 

0.00830 0.00490 0.00578 0.00341 0.00490 
0.00363 0.00214 0.00253 0.00149 0.00214 
0.00616 0.00363 0.00429 0.00253 0.00363 
0.00214 0.00126 0.00149 0.00088 0.00126 
0.00578 0.00341 0.00402 0.00237 0.00341 

0.00704 0.00415 0.00490 0.00289 0.00415 
0.00308 0.00182 0.00214 0.00126 0.00182 
0.00522 0.00308 0.00363 0.00214 0.00308 
0.00182 0.00107 0.00126 0.00075 0.00107 
0.00490 0.00289 0.00341 0.00201 0.00289 

0.00597 0.00352 0.00415 0.00245 0.00352 
0.00261 0.00154 0.00182 0.00107 0.00154 
0.00443 0.00261 0.00308 0.00182 0.00261 
0.00154 0.00091 0.00107 0.00063 0.00091 
0.00415 0.00245 0.00289 0.00170 0.00245 

0.00506 0.00298 0.00352 0.00208 0.00298 
0.00221 0.00131 0.00154 0.00091 0.00131 
0.00375 0.00221 0.00261 0.00154 0.00221 
0.00131 0.00077 0.00091 0.00054 0.00077 
0.00352 0.00208 0.00245 0.00144 0.00208 

0.00429 0.00253 0.00298 0.00176 0.00253 
0.00188 0.00111 0.00131 0.00077 0.00111 
0.00318 0.00188 0.00221 0.00131 0.00188 
0.00111 0.00065 0.00077 0.00045 0.00065 
0.00298 0.00176 0.00208 0.00122 0.00176 

0.00364 0.00215 0.00253 0.00149 0.00215 
0.00159 0.00094 0.00111 0.00065 0.00094 
0.00270 0.00159 0.00188 0.00111 0.00159 
0.00094 0.00055 0.00065 0.00039 0.00055 
0.00253 0.00149 0.00176 0.00104 0.00149 

0.00308 0.00182 0.00215 0.00127 0.00182 
0.00135 0.00080 0.00094 0.00055 0.00080 
0.00229 0.00135 0.00159 0.00094 0.00135 
0.00080 0.00047 0.00055 0.00033 0.00047 
0.00215 0.00127 0.00149 0.00088 0.00127 

0.00261 0.00154 0.00182 0.00107 0.00154 
0.00114 0.00067 0.00080 0.00047 0.00067 
0.00194 0.00114 0.00135 0.00080 0.00114 
0.00067 0.00040 0.00047 0.00028 0.00040 
0.00182 0.00107 0.00127 0.00075 0.00107 

0.00222 0.00131 0.00154 0.00091 0.00131 
0.00097 0.00057 0.00067 0.00040 0.00057 
0.00164 0.00097 0.00114 0.00067 0.00097 
0.00057 0.00034 0.00040 0.00023 0.00034 
0.00154 0.00091 0.00107 0.00063 0.00091 

0.00188 0.00111 0.00131 0.00077 0.00111 
0.00082 0.00048 0.00057 0.00034 0.00048 
0.00139 0.00082 0.00097 0.00057 0.00082 
0.00048 0.00029 0.00034 0.00020 0.00029 
0.00131 0.00077 0.00091 0.00054 0.00077 

0.00159 0.00094 0.00111 0.00065 0.00094 
0.00070 0.00041 0.00048 0.00029 0.00041 
0.00118 0.00070 0.00082 0.00048 0.00070 
0.00041 0.00024 0.00029 0.00017 0.00024 
0.00111 0.00065 0.00077 0.00045 0.00065 

0.00135 0.00080 0.00094 0.00055 0.00080 
0.00059 0.00035 0.00041 0.00024 0.00035 
0.00100 0.00059 0.00070 0.00041 0.00059 
0.00035 0.00021 0.00024 0.00014 0.00021 
0.00094 0.00055 0.00065 0.00039 0.00055 

0.00115 0.00068 0.00080 0.00047 0.00068 
0.00050 0.00030 0.00035 0.00021 0.00030 
0.00085 0.00050 0.00059 0.00035 0.00050 
0.00030 0.00017 0.00021 0.00012 0.00017 
0.00080 0.00047 0.00055 0.00033 0.00047 

0.00097 0.00057 0.00068 0.00040 0.00057 
0.00042 0.00025 0.00030 0.00017 0.00025 
0.00072 0.00042 0.00050 0.00030 0.00042 
0.00025 0.00015 0.00017 0.00010 0.00015 
0.00068 0.00040 0.00047 0.00028 0.00040 

0.00082 0.00049 0.00057 0.00034 0.00049 
0.00036 0.00021 0.00025 0.00015 0.00021 
0.00061 0.00036 0.00042 0.00025 0.00036 
0.00021 0.00013 0.00015 0.00009 0.00013 
0.00057 0.00034 0.00040 0.00023 0.00034 

0.00070 0.00041 0.00049 0.00029 0.00041 
0.00031 0.00018 0.00021 0.00013 0.00018 
0.00052 0.00031 0.00036 0.00021 0.00031 
0.00018 0.00011 0.00013 0.00007 0.00011 
0.00049 0.00029 0.00034 0.00020 0.00029 

0.00059 0.00035 0.00041 0.00024 0.00035 
0.00026 0.00015 0.00018 0.00011 0.00015 
0.00044 0.00026 0.00031 0.00018 0.00026 
0.00015 0.00009 0.00011 0.00006 0.00009 
0.00041 0.00024 0.00029 0.00017 0.00024 

0.00050 0.00030 0.00035 0.00021 0.00030 
0.00022 0.00013 0.00015 0.00009 0.00013 
0.00037 0.00022 0.00026 0.00015 0.00022 
0.00013 0.00008 0.00009 0.00005 0.00008 
0.00035 0.00021 0.00024 0.00014 0.00021 

0.00043 0.00025 0.00030 0.00017 0.00025 
0.00019 0.00011 0.00013 0.00008 0.00011 
0.00032 0.00019 0.00022 0.00013 0.00019 
0.00011 0.00006 0.00008 0.00005 0.00006 
0.00030 0.00017 0.00021 0.00012 0.00017 

0.00036 0.00021 0.00025 0.00015 0.00021 
0.00016 0.00009 0.00011 0.00006 0.00009 
0.00027 0.00016 0.00019 0.00011 0.00016 
0.00009 0.00005 0.00006 0.00004 0.00005 
0.00025 0.00015 0.00017 0.00010 0.00015 

0.00031 0.00018 0.00021 0.00013 0.00018 
0.00013 0.00008 0.00009 0.00005 0.00008 
0.00023 0.00013 0.00016 0.00009 0.00013 
0.00008 0.00005 0.00005 0.00003 0.00005 
0.00021 0.00013 0.00015 0.00009 0.00013 

0.00026 0.00015 0.00018 0.00011 0.00015 
0.00011 0.00007 0.00008 0.00005 0.00007 
0.00019 0.00011 0.00013 0.00008 0.00011 
0.00007 0.00004 0.00005 0.00003 0.00004 
0.00018 0.00011 0.00013 0.00007 0.00011 

0.00022 0.00013 0.00015 0.00009 0.00013 
0.00010 0.00006 0.00007 0.00004 0.00006 
0.00016 0.00010 0.00011 0.00007 0.00010 
0.00006 0.00003 0.00004 0.00002 0.00003 
0.00015 0.00009 0.00011 0.00006 0.00009 

0.00019 0.00011 0.00013 0.00008 0.00011 
0.00008 0.00005 0.00006 0.00003 0.00005 
0.00014 0.00008 0.00010 0.00006 0.00008 
0.00005 0.00003 0.00003 0.00002 0.00003 
0.00013 0.00008 0.00009 0.00005 0.00008 

0.00016 0.00009 0.00011 0.00006 0.00009 
0.00007 0.00004 0.00005 0.00003 0.00004 
0.00012 0.00007 0.00008 0.00005 0.00007 
0.00004 0.00002 0.00003 0.00002 0.00002 
0.00011 0.00006 0.00008 0.00005 0.00006 

0.00013 0.00008 0.00009 0.00005 0.00008 
0.00006 0.00003 0.00004 0.00002 0.00003 
0.00010 0.00006 0.00007 0.00004 0.00006 
0.00003 0.00002 0.00002 0.00001 0.00002 
0.00009 0.00005 0.00006 0.00004 0.00005 

0.00011 0.00007 0.00008 0.00005 0.00007 
0.00005 0.00003 0.00003 0.00002 0.00003 
0.00008 0.00005 0.00006 0.00003 0.00005 
0.00003 0.00002 0.00002 0.00001 0.00002 
0.00008 0.00005 0.00005 0.00003 0.00005 

0.00010 0.00006 0.00007 0.00004 0.00006 
0.00004 0.00002 0.00003 0.00002 0.00002 
0.00007 0.00004 0.00005 0.00003 0.00004 
0.00002 0.00001 0.00002 0.00001 0.00001 
0.00007 0.00004 0.00005 0.00003 0.00004 

0.00008 0.00005 0.00006 0.00003 0.00005 
0.00004 0.00002 0.00002 0.00001 0.00002 
0.00006 0.00004 0.00004 0.00002 0.00004 
0.00002 0.00001 0.00001 0.00001 0.00001 
0.00006 0.00003 0.00004 0.00002 0.00003 

0.00007 0.00004 0.00005 0.00003 0.00004 
0.00003 0.00002 0.00002 0.00001 0.00002 
0.00005 0.00003 0.00004 0.00002 0.00003 
0.00002 0.00001 0.00001 0.00001 0.00001 
0.00005 0.00003 0.00003 0.00002 0.00003 

0.00006 0.00003 0.00004 0.00002 0.00003 
0.00003 0.00002 0.00002 0.00001 0.00002 
0.00004 0.00003 0.00003 0.00002 0.00003 
0.00002 0.00001 0.00001 0.00001 0.00001 
0.00004 0.00002 0.00003 0.00002 0.00002 

0.00005 0.00003 0.00003 0.00002 0.00003 
0.00002 0.00001 0.00002 0.00001 0.00001 
0.00004 0.00002 0.00003 0.00002 0.00002 
0.00001 0.00001 0.00001 0.00001 0.00001 
0.00003 0.00002 0.00002 0.00001 0.00002 

0.00004 0.00002 0.00003 0.00002 0.00002 
0.00002 0.00001 0.00001 0.00001 0.00001 
0.00003 0.00002 0.00002 0.00001 0.00002 
0.00001 0.00001 0.00001 0.00000 0.00001 
0.00003 0.00002 0.00002 0.00001 0.00002 

0.00004 0.00002 0.00002 0.00001 0.00002 
0.00002 0.00001 0.00001 0.00001 0.00001 
0.00003 0.00002 0.00002 0.00001 0.00002 
0.00001 0.00001 0.00001 0.00000 0.00001 
0.00002 0.00001 0.00002 0.00001 0.00001 

0.00003 0.00002 0.00002 0.00001 0.00002 
0.00001 0.00001 0.00001 0.00001 0.00001 
0.00002 0.00001 0.00002 0.00001 0.00001 
0.00001 0.00000 0.00001 0.00000 0.00000 
0.00002 0.00001 0.00001 0.00001 0.00001 

0.00003 0.00002 0.00002 0.00001 0.00002 
0.00001 0.00001 0.00001 0.00000 0.00001 
0.00002 0.00001 0.00001 0.00001 0.00001 
0.00001 0.00000 0.00000 0.00000 0.00000 
0.00002 0.00001 0.00001 0.00001 0.00001 

0.00002 0.00001 0.00002 0.00001 0.00001 
0.00001 0.00001 0.00001 0.00000 0.00001 
0.00002 0.00001 0.00001 0.00001 0.00001 
0.00001 0.00000 0.00000 0.00000 0.00000 
0.00002 0.00001 0.00001 0.00001 0.00001 

0.00002 0.00001 0.00001 0.00001 0.00001 
0.00001 0.00000 0.00001 0.00000 0.00000 
0.00001 0.00001 0.00001 0.00001 0.00001 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00001 0.00001 0.00001 0.00001 

0.00002 0.00001 0.00001 0.00001 0.00001 
0.00001 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00001 0.00001 0.00000 0.00001 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00001 0.00001 0.00000 0.00001 

0.00001 0.00001 0.00001 0.00001 0.00001 
0.00001 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00001 0.00001 0.00000 0.00001 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00001 0.00001 0.00000 0.00001 

0.00001 0.00001 0.00001 0.00000 0.00001 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00000 0.00001 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00000 0.00001 0.00000 0.00000 

0.00001 0.00001 0.00001 0.00000 0.00001 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00000 0.00000 0.00000 0.00000 

0.00001 0.00000 0.00001 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00000 0.00000 0.00000 0.00000 

0.00001 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00001 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00001 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 

0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
0.00000 0.00000 0.00000 0.00000 0.00000 
